wavenumber,II1,III11,IV1
1116.784464,81.645801,74.601143,87.79015
1114.855648,81.580916,74.494029,87.887059
1112.926832,81.472763,74.385038,88.017938
1110.998016,81.325583,74.270104,88.156648
1109.0692,81.166865,74.153718,88.308146
1107.140384,81.025267,74.060854,88.500613
1105.211568,80.910051,74.00118,88.697771
1103.282752,80.874818,74.027496,88.88885
1101.353936,80.934284,74.14418,89.111702
1099.42512,81.043578,74.287044,89.310073
1097.496304,81.16434,74.421544,89.432022
1095.567488,81.247227,74.501848,89.499048
1093.638672,81.196556,74.431274,89.512294
1091.709856,80.927489,74.106583,89.422801
1089.78104,80.447525,73.53411,89.249329
1087.852224,79.792393,72.755035,89.00016
1085.923408,78.984619,71.830671,88.676522
1083.994592,78.097789,70.777711,88.284239
1082.065776,77.189698,69.671553,87.863335
1080.13696,76.352095,68.623887,87.407009
1078.208144,75.774646,67.846639,87.033382
1076.279328,75.616687,67.585409,86.844986
1074.350512,75.98094,67.91327,86.817737
1072.421696,76.838571,68.751836,86.958641
1070.49288,77.88664,69.80547,87.1624
1068.564064,78.732061,70.643783,87.297999
1066.635248,79.135171,70.975077,87.270116
1064.706432,79.063796,70.760771,87.077089
1062.777616,78.611001,70.144732,86.775144
1060.8488,77.959156,69.348894,86.49469
1058.919984,77.278744,68.608848,86.375211
1056.991168,76.654333,68.009476,86.471113
1055.062352,76.085523,67.555292,86.720632
1053.133536,75.580618,67.220882,87.002947
1051.20472,75.134973,66.897645,87.253138
1049.275904,74.684314,66.514994,87.396535
1047.347088,74.22628,66.108036,87.472407
1045.418272,73.753646,65.678284,87.505706
1043.489456,73.257771,65.214997,87.484132
1041.56064,72.786953,64.752823,87.416839
1039.631824,72.339134,64.277458,87.291251
1037.703008,71.89103,63.770267,87.103846
1035.774192,71.425878,63.21709,86.884768
1033.845376,70.909101,62.597111,86.623394
1031.91656,70.325943,61.903292,86.315508
1029.987744,69.658011,61.108138,85.943203
1028.058928,68.913153,60.214429,85.519391
1026.130112,68.12126,59.259849,85.019348
1024.201296,67.308632,58.263312,84.460276
1022.27248,66.57103,57.335341,83.940198
1020.343664,66.006488,56.657078,83.624417
1018.414848,65.611101,56.244172,83.563651
1016.486032,65.379727,56.080814,83.673381
1014.557216,65.299315,56.108878,83.860184
1012.6284,65.316983,56.20793,84.041209
1010.699584,65.388827,56.3442,84.207886
1008.770768,65.438812,56.443704,84.322539
